0.000000	0.000000	0.000000	0.075942888
0.000000	0.025000	-0.000313	0.075940980
0.000000	0.050000	-0.001250	0.075929536
0.000000	0.075000	-0.002813	0.075914277
0.000000	0.100000	-0.005000	0.075889482
0.000000	0.125000	-0.007812	0.075860872
0.000000	0.150000	-0.011250	0.075824632
0.000000	0.175000	-0.015312	0.075780763
0.000000	0.200000	-0.020000	0.075731172
0.000000	0.225000	-0.025312	0.075675859
0.000000	0.250000	-0.031250	0.075612917
0.000000	0.275000	-0.037812	0.075544253
0.000000	0.300000	-0.045000	0.075467959
0.000000	0.325000	-0.052813	0.075385943
0.000000	0.350000	-0.061250	0.075298205
0.000000	0.375000	-0.070313	0.075204745
0.000000	0.400000	-0.080000	0.075103656
0.000000	0.425000	-0.090313	0.074998752
0.000000	0.450000	-0.101250	0.074886219
0.000000	0.475000	-0.112813	0.074767963
0.000000	0.500000	-0.125000	0.074643986
0.000000	0.525000	-0.137813	0.074514286
0.000000	0.550000	-0.151250	0.074378865
0.000000	0.575000	-0.165313	0.074239629
0.000000	0.600000	-0.180000	0.074092763
0.000000	0.625000	-0.195313	0.073942083
0.000000	0.650000	-0.211250	0.073783773
0.000000	0.675000	-0.227813	0.073623556
0.000000	0.700000	-0.245000	0.073455710
0.000000	0.725000	-0.262813	0.073284049
0.000000	0.750000	-0.281250	0.073106666
0.000000	0.775000	-0.300313	0.072925468
0.000000	0.800000	-0.320000	0.072740456
0.000000	0.825000	-0.340313	0.072549721
0.000000	0.850000	-0.361250	0.072355172
0.000000	0.875000	-0.382813	0.072156808
0.000000	0.900000	-0.405000	0.071952722
0.000000	0.925000	-0.427813	0.071746729
0.000000	0.950000	-0.451250	0.071535014
0.000000	0.975000	-0.475313	0.071319484
0.000000	1.000000	-0.500000	0.071102046
0.000000	1.025000	-0.525313	0.070878887
0.000000	1.050000	-0.551250	0.070653820
0.000000	1.075000	-0.577813	0.070424939
0.000000	1.100000	-0.605000	0.070194150
0.000000	1.125000	-0.632812	0.069957640
0.000000	1.150000	-0.661250	0.069721129
0.000000	1.175000	-0.690312	0.069478896
0.000000	1.200000	-0.720000	0.069236663
0.000000	1.225000	-0.750312	0.068990616
0.000000	1.250000	-0.781250	0.068740754
0.000000	1.275000	-0.812812	0.068488984
0.000000	1.300000	-0.845000	0.068235307
0.000000	1.325000	-0.877812	0.067979723
0.000000	1.350000	-0.911250	0.067722231
0.000000	1.375000	-0.945312	0.067462833
0.000000	1.400000	-0.980000	0.067201526
0.000000	1.425000	-1.015312	0.066938313
0.000000	1.450000	-1.051250	0.066673192
0.000000	1.475000	-1.087812	0.066406164
0.000000	1.500000	-1.125000	0.066137228
0.000000	1.525000	-1.162812	0.065868292
0.000000	1.550000	-1.201250	0.065597449
0.000000	1.575000	-1.240312	0.065324699
0.000000	1.600000	-1.280000	0.065051949
0.000000	1.625000	-1.320312	0.064777291
0.000000	1.650000	-1.361250	0.064500726
0.000000	1.675000	-1.402812	0.064226068
0.000000	1.700000	-1.445000	0.063947596
0.000000	1.725000	-1.487812	0.063671031
0.000000	1.750000	-1.531250	0.063392559
0.000000	1.775000	-1.575312	0.063114086
0.000000	1.800000	-1.620000	0.062833707
0.000000	1.825000	-1.665312	0.062553327
0.000000	1.850000	-1.711250	0.062272947
0.000000	1.875000	-1.757812	0.061992568
0.000000	1.900000	-1.805000	0.061712188
0.000000	1.925000	-1.852812	0.061431808
0.000000	1.950000	-1.901250	0.061151429
0.000000	1.975000	-1.950312	0.060869142
0.000000	2.000000	-2.000000	0.060588762
0.000000	2.025000	-2.050312	0.060308382
0.000000	2.050000	-2.101250	0.060028002
0.000000	2.075000	-2.152812	0.059747623
0.000000	2.100000	-2.205000	0.059467243
0.000000	2.125000	-2.257812	0.059186863
0.000000	2.150000	-2.311250	0.058906484
0.000000	2.175000	-2.365312	0.058628011
0.000000	2.200000	-2.420000	0.058349539
0.000000	2.225000	-2.475312	0.058071067
0.000000	2.250000	-2.531250	0.057792594
0.000000	2.275000	-2.587812	0.057516029
0.000000	2.300000	-2.645000	0.057239464
0.000000	2.325000	-2.702812	0.056962899
0.000000	2.350000	-2.761250	0.056688242
0.000000	2.375000	-2.820312	0.056413584
0.000000	2.400000	-2.880000	0.056138926
0.000000	2.425000	-2.940312	0.055866176
0.000000	2.450000	-3.001250	0.055593426
0.000000	2.475000	-3.062812	0.055322583
0.050000	0.000000	0.050000	0.076482666
0.050000	0.025000	0.049688	0.076478851
0.050000	0.050000	0.048750	0.076467407
0.050000	0.075000	0.047188	0.076452149
0.050000	0.100000	0.045000	0.076427353
0.050000	0.125000	0.042188	0.076396836
0.050000	0.150000	0.038750	0.076360596
0.050000	0.175000	0.034688	0.076314820
0.050000	0.200000	0.030000	0.076265229
0.050000	0.225000	0.024688	0.076208009
0.050000	0.250000	0.018750	0.076143159
0.050000	0.275000	0.012188	0.076074494
0.050000	0.300000	0.005000	0.075996293
0.050000	0.325000	-0.002813	0.075914277
0.050000	0.350000	-0.011250	0.075824632
0.050000	0.375000	-0.020313	0.075727358
0.050000	0.400000	-0.030000	0.075626268
0.050000	0.425000	-0.040313	0.075517550
0.050000	0.450000	-0.051250	0.075403109
0.050000	0.475000	-0.062813	0.075282946
0.050000	0.500000	-0.075000	0.075155154
0.050000	0.525000	-0.087813	0.075023547
0.050000	0.550000	-0.101250	0.074886219
0.050000	0.575000	-0.115313	0.074743168
0.050000	0.600000	-0.130000	0.074594395
0.050000	0.625000	-0.145313	0.074439900
0.050000	0.650000	-0.161250	0.074279683
